regime,rep,n,memory,order,noise_sd,oracle_vwk_mse,empirical_vwk_mse,wiener_mse,monomial_ls_mse,huber_mse,wiener_oracle_ratio,wiener_empirical_ratio,empirical_oracle_ratio,oracle_coef_rmse
gaussian_control,0,1200,3,2,0.25,0.011950414196887714,0.012676710343832753,0.011950414196887714,0.0008479517906266907,0.0009085293001944092,1.0,0.9427062599644881,1.0607758137064565,0.03604559243328455
gaussian_control,1,1200,3,2,0.25,0.05541829848355976,0.016330006492418704,0.05541829848355976,0.0005612368405889805,0.0006534060392206309,1.0,3.3936482823376717,0.2946681319936793,0.09119121663102733
gaussian_control,2,1200,3,2,0.25,0.03232708620740611,0.020312206331609628,0.03232708620740611,0.000385888358282825,0.0003998733452065867,1.0,1.5915103302736278,0.6283339674132498,0.0527368604180062
gaussian_control,3,1200,3,2,0.25,0.015906912503174022,0.015992843681055077,0.015906912503174022,0.000635324558715642,0.0007261939448153255,1.0,0.9946268981555264,1.005402128028548,0.03842475850307826
gaussian_control,4,1200,3,2,0.25,0.017299137526639193,0.003777059626214792,0.017299137526639193,0.0005581703103252578,0.0005608507257998084,1.0,4.580054126382868,0.21833803103758456,0.04496659244250761
gaussian_control,5,1200,3,2,0.25,0.00850071552469876,0.011843142334238208,0.00850071552469876,0.0002949645133264585,0.00038653090025950843,1.0,0.7177753407660583,1.3931935846844954,0.030046250334458235
gaussian_control,6,1200,3,2,0.25,0.031016084461245968,0.018510414899620815,0.031016084461245968,0.00026368058535762513,0.0002631772973275493,1.0,1.675601796580007,0.5968005059680966,0.05358426336112259
gaussian_control,7,1200,3,2,0.25,0.013246442750694837,0.008190433049680323,0.013246442750694837,0.00085689176978627,0.0006679275498224631,1.0,1.6173067614797063,0.618311889752492,0.03431811832661594
gaussian_control,8,1200,3,2,0.25,0.011643911954583721,0.007149335879544508,0.011643911954583721,0.0004311429771883629,0.0003922117460718016,1.0,1.6286704318787113,0.6139977618716117,0.034648812777610324
gaussian_control,9,1200,3,2,0.25,0.027915423311931267,0.02274941848510331,0.027915423311931267,0.0002503136550555709,0.0003269291674485904,1.0,1.2270829397336351,0.8149408386502967,0.06020507912557277
gaussian_control,10,1200,3,2,0.25,0.011391378158640133,0.009486250430512835,0.011391378158640133,0.0010218933017069685,0.0010082892452219863,1.0,1.2008304273730106,0.8327570464612927,0.036028593327953745
gaussian_control,11,1200,3,2,0.25,0.010335580828565488,0.010332389367677428,0.010335580828565488,0.0004652043409601993,0.0003921604837817423,1.0,1.0003088792702726,0.9996912161066711,0.03463162143360126
gaussian_control,12,1200,3,2,0.25,0.016407546256114795,0.014913316932016652,0.016407546256114795,0.0005344131449151389,0.0006521730327827223,1.0,1.1001942982174715,0.9089303604101515,0.041444063841559624
gaussian_control,13,1200,3,2,0.25,0.021428014185820948,0.0259586716286097,0.021428014185820948,0.00015560989015613857,0.00021362866427647424,1.0,0.8254665143267422,1.2114361789897787,0.05377159163197302
gaussian_control,14,1200,3,2,0.25,0.06818989288683439,0.055581564192622016,0.06818989288683439,0.0006121405480821522,0.0006513669304544766,1.0,1.2268437183688692,0.8150997433719874,0.07633071242517239
gaussian_control,15,1200,3,2,0.25,0.067321019048703,0.06420056197294158,0.067321019048703,0.0006229804089598653,0.0006068619858719117,1.0,1.0486048249402644,0.9536481009964519,0.07173309096111957
gaussian_control,16,1200,3,2,0.25,0.015232715773843157,0.004935673819200299,0.015232715773843157,0.000387297594776329,0.00040898950578387914,1.0,3.086248470185826,0.324017981591673,0.03945275876139191
gaussian_control,17,1200,3,2,0.25,0.007215026047383232,0.005182802728090846,0.007215026047383232,0.0005673735602443741,0.0005608628884513385,1.0,1.3921089468209382,0.7183345831399404,0.02994911885641405
gaussian_control,18,1200,3,2,0.25,0.08079742699356746,0.04326607643796361,0.08079742699356746,0.0005419335139996539,0.0005215666094945196,1.0,1.8674544503571426,0.5354882952078185,0.08770873166771938
