name,reps,n,memory,order,noise_sd,oracle_vwk_mse,empirical_vwk_mse,wiener_mse,monomial_ls_mse,huber_mse,wiener_oracle_ratio,wiener_empirical_ratio,empirical_oracle_ratio,oracle_coef_rmse
gaussian_control,40,1200,3,2,0.25,0.025558421623619144,0.018869591256642892,0.025558421623619144,0.0005602232831660933,0.0005858402311838316,1.0,1.3544766961828862,0.7382925101761784,0.04752065734964851
centered_exponential_skew,40,1200,3,2,0.25,0.0800451293090744,0.06304081963603347,0.760900646072036,0.0005249362454257874,0.0005450088401109385,9.505895644618263,12.069967530008336,0.787565966601378,0.08349657946678783
uniform_platykurtic,40,1200,3,2,0.25,0.011369528688213882,0.009082608233436578,0.011369528688213875,0.0005099969002295777,0.0005477295759365949,0.9999999999999994,1.2517911591032036,0.7988552984480334,0.032810722680992194
symmetric_contaminated,40,1200,3,2,0.25,0.11782994440726324,0.07293048329656117,0.11782994440726346,0.0005347058310696165,0.0005521015640500847,1.0000000000000018,1.6156473820161754,0.6189469380082777,0.09275060845514464
