regime,n,reps,memory,order,noise_sd,oracle_vwk_mse,empirical_vwk_mse,wiener_mse,monomial_ls_mse,huber_mse,wiener_oracle_ratio,wiener_empirical_ratio,empirical_oracle_ratio
gaussian_control,600,30,3,2,0.25,0.05062172243616373,0.03665803207117859,0.05062172243616373,0.0011023105844879034,0.0011033788849750983,1.0,1.3809176209424434,0.7241561587993379
centered_exponential_skew,600,30,3,2,0.25,0.3704565014953017,0.2435005774110703,1.2598522669612202,0.0010756138529645581,0.0011005890406616653,3.4008102486418323,5.1739190122509475,0.6572987015431244
uniform_platykurtic,600,30,3,2,0.25,0.030260758479118487,0.018415892040021954,0.030260758479118507,0.0010081152422970025,0.001083746181789985,1.0000000000000007,1.643187221849202,0.6085733790423623
symmetric_contaminated,600,30,3,2,0.25,0.12744829728431076,0.07945318645829068,0.12744829728431076,0.0010289802565010436,0.0010602325760269225,1.0,1.6040677909276218,0.6234150487004708
gaussian_control,1200,30,3,2,0.25,0.02863658139687425,0.01736811839718799,0.02863658139687425,0.0005178526268282384,0.000560389193070894,1.0,1.6488015996891578,0.6065011097687715
centered_exponential_skew,1200,30,3,2,0.25,0.08673619498351942,0.04552844593323993,0.7146677059227211,0.0004924671135923846,0.0005376413523451031,8.239555655611982,15.697168907778341,0.5249071156728826
uniform_platykurtic,1200,30,3,2,0.25,0.013458512936469675,0.010211069620812575,0.013458512936469656,0.0005629176393376221,0.0005853442536007373,0.9999999999999986,1.318031649597024,0.7587071223257342
symmetric_contaminated,1200,30,3,2,0.25,0.08144039786889853,0.047801420175799504,0.08144039786889852,0.0006197495111222401,0.0006194092550346558,0.9999999999999998,1.7037233950243484,0.5869497378039518
