regime,order,population_power_cond,population_vwk_cond,vwk_orthogonality_error,empirical_n,empirical_reps,empirical_power_cond_median,empirical_power_cond_p90,empirical_vwk_cond_median,empirical_vwk_cond_p90
gaussian,2,5.828427124746188,1.0000000000000004,3.3306690738754696e-16,2000,40,5.8586878876054165,6.137650528408378,1.11481222460334,1.2220388518343368
gaussian,3,40.642061615637026,1.0000000000000007,3.3306690738754696e-16,2000,40,41.89621525210002,46.30203449294618,1.333311748519792,1.6199778813362873
gaussian,4,344.45016379932053,1.0000000000000013,8.881784197001252e-16,2000,40,345.1498077758051,431.8898682774078,1.9330374809487778,2.704674588951247
gaussian,5,4902.306753814915,1.0000000000000038,3.552713678800501e-15,2000,40,5378.216678270269,7898.71207030521,3.2301403165741283,7.971625720583317
gaussian,6,66182.93323159777,1.0000000000000044,3.552713678800501e-15,2000,40,73706.14137091817,104379.39106100211,7.895395687459855,17.217294709856386
centered_exponential,2,22.956439237389596,1.0,0.0,2000,40,22.868002529540163,27.78950803873587,1.2796711451627876,1.6781141933116621
centered_exponential,3,990.0403332446714,1.0000000000000009,8.881784197001252e-16,2000,40,911.358326795518,1855.0942479097143,2.5534646740887954,5.406252365026497
centered_exponential,4,72526.19784479715,1.0000000000000033,3.552713678800501e-15,2000,40,60056.361986228425,171299.25207060433,11.873971592397988,58.92928880049479
centered_exponential,5,8715872.390391931,1.0000000000000382,2.842170943040401e-14,2000,40,3422430.091043967,13104804.812601235,403.8755084782007,1622.2726482703108
centered_exponential,6,1627447464.90212,1.0000000000015081,1.3642420526593924e-12,2000,40,376875303.062954,3990964752.3411555,10556.488527309079,43184.291050747204
uniform,2,7.669615364994152,1.0000000000000004,4.440892098500626e-16,2000,40,7.679416320682772,7.971095964723878,1.0711119449505353,1.118406800412461
uniform,3,36.199888833289236,1.0000000000000018,1.7763568394002505e-15,2000,40,36.37819984066242,37.399671229342765,1.1158894202978782,1.1695925035541819
uniform,4,214.52754017670887,1.0000000000000013,1.7763568394002505e-15,2000,40,214.12683172904656,226.16154337206214,1.1690771192929612,1.2358948876986688
uniform,5,1388.9146141136257,1.0000000000000442,4.263256414560601e-14,2000,40,1375.3084107058808,1484.8534299137084,1.1802566336030569,1.2601936495130233
uniform,6,9624.602998315922,1.0000000000001035,5.684341886080802e-14,2000,40,9932.846728490164,10492.007860159327,1.228862412607652,1.3610311381115534
contaminated,2,8.103757275621039,1.0000000000000004,2.220446049250313e-16,2000,40,8.370450783803328,9.938796451511607,1.3111922169250354,1.612828409701729
contaminated,3,262.56475818988315,1.0000000000000004,2.220446049250313e-16,2000,40,248.40450853043808,353.86715336407275,1.8802848820212756,3.2884920411547216
contaminated,4,7326.513624911216,1.0000000000000007,4.440892098500626e-16,2000,40,5663.510714391929,11198.397984570667,4.2552970408986255,9.736420393078497
contaminated,5,344378.2202488375,1.000000000000002,1.7763568394002505e-15,2000,40,206527.7560865539,708862.3834973588,11.415034389998274,58.98963323688691
contaminated,6,15148644.183632493,1.000000000000004,1.7763568394002505e-15,2000,40,9213430.462013192,21011232.602428045,75.57285121611558,260.7598106376431
