regime,rep,n,memory,order,noise_sd,oracle_vwk_mse,empirical_vwk_mse,wiener_mse,monomial_ls_mse,huber_mse,wiener_oracle_ratio,wiener_empirical_ratio,empirical_oracle_ratio,oracle_coef_rmse
gaussian_control,0,2500,3,2,0.25,0.0105839383301037,0.00975602789412369,0.0105839383301037,0.00041273936179929,0.0003587013158155005,1.0,1.0848614256708595,0.921776713907601,0.03454790346693333
gaussian_control,1,2500,3,2,0.25,0.00705812927156004,0.003938030664379758,0.00705812927156004,6.812001787799916e-05,7.159656366803033e-05,1.0,1.7922992157989452,0.5579425528868708,0.024991597071803862
gaussian_control,2,2500,3,2,0.25,0.013433824384407149,0.0069329737401974305,0.013433824384407149,0.0002370013141900602,0.0002687739154428141,1.0,1.937671320824099,0.5160833982796919,0.0367884897435159
gaussian_control,3,2500,3,2,0.25,0.02759345120628121,0.019800245316201476,0.02759345120628121,0.000183034495228222,0.00020348806704672805,1.0,1.3935913805927935,0.7175704542422104,0.05046988419905969
gaussian_control,4,2500,3,2,0.25,0.011433878911423665,0.01239707489320972,0.011433878911423665,0.0001596621663839828,0.00015188438733591456,1.0,0.9223045766777106,1.0842405267055715,0.03503212169982426
gaussian_control,5,2500,3,2,0.25,0.00745122281866037,0.0054858503221417425,0.00745122281866037,0.00031066539349884306,0.00038129670863812213,1.0,1.35826214371655,0.7362349047465507,0.027686969846334817
gaussian_control,6,2500,3,2,0.25,0.014751689464556355,0.011624353573742262,0.014751689464556355,0.00015240429004485472,0.00014435357867978495,1.0,1.2690331011505271,0.7880015100420809,0.03639125964745023
gaussian_control,7,2500,3,2,0.25,0.019525232425524754,0.02247653708120642,0.019525232425524754,0.000295648524890047,0.0003232552876130913,1.0,0.8686939787468695,1.1511533686955508,0.04209274160923877
gaussian_control,8,2500,3,2,0.25,0.005922862247508693,0.005317531037404488,0.005922862247508693,0.0002303422952848198,0.00023738378349785053,1.0,1.1138368926944093,0.897797520048888,0.026207973908328276
gaussian_control,9,2500,3,2,0.25,0.011323810488043758,0.0045882301644206295,0.011323810488043758,0.0002215346666428046,0.00027606888287364016,1.0,2.4680127374284964,0.4051842945680794,0.030872660767408185
gaussian_control,10,2500,3,2,0.25,0.03380538858113092,0.034059670968963375,0.03380538858113092,0.00020570765867291858,0.00026372760050419667,1.0,0.9925342089163407,1.0075219483787974,0.05657470605354435
gaussian_control,11,2500,3,2,0.25,0.015219349627682297,0.013173541159149284,0.015219349627682297,0.00019936668632770826,0.00021949211488503893,1.0,1.15529677584923,0.8655784564662399,0.03707063853944558
gaussian_control,12,2500,3,2,0.25,0.008889768493708672,0.01061894664904393,0.008889768493708672,0.00036387691461538013,0.00035648722729345533,1.0,0.8371610469018654,1.1945132943067083,0.030281440511664745
gaussian_control,13,2500,3,2,0.25,0.016245661125151876,0.00811776686211093,0.016245661125151876,0.00015450360888568678,0.00013323920076820127,1.0,2.001247559963478,0.49968830443858214,0.044385198471931606
gaussian_control,14,2500,3,2,0.25,0.0019779899769079416,0.0008020485308909377,0.0019779899769079416,0.00013413772402753654,0.00010279712123379596,1.0,2.466172433120394,0.4054866507183854,0.013602701790383403
gaussian_control,15,2500,3,2,0.25,0.00585469239582293,0.002886720676238875,0.00585469239582293,0.00029131229943774175,0.0003302056004908305,1.0,2.0281464860850487,0.49306103225823195,0.02412402453250101
gaussian_control,16,2500,3,2,0.25,0.03206505478902334,0.025830767728967332,0.03206505478902334,0.00013852164566608113,0.00020244001839907284,1.0,1.2413512105203404,0.8055737904994892,0.051769207405332196
gaussian_control,17,2500,3,2,0.25,0.009755652872075913,0.007471616116754611,0.009755652872075913,0.000603241599419439,0.0006297311986635959,1.0,1.3056951427415415,0.7658755610443034,0.03147687967584271
gaussian_control,18,2500,3,2,0.25,0.01785381537831086,0.0031696865024878618,0.01785381537831086,0.0002217728546989297,0.00026485590613442995,1.0,5.632675459954019,0.17753552589876417,0.044935682490935644
gaussian_control,19,2500,3,2,0.25,0.008104770812991312,0.006779751680241301,0.008104770812991312,0.00018534436788287278,0.00020420537319612822,1.0,1.195437708524282,0.8365136827032654,0.028130604658931253
gaussian_control,20,2500,3,2,0.25,0.019918751525098505,0.0018992147002818154,0.019918751525098505,8.635842176198718e-05,0.00010748009336688713,1.0,10.487888242515634,0.09534807931554953,0.04166207143298393
gaussian_control,21,2500,3,2,0.25,0.008287229569613527,0.007052738699625017,0.008287229569613527,7.680888396072051e-05,9.42726894129781e-05,1.0,1.1750370916271355,0.8510369648121043,0.027830484059525956
gaussian_control,22,2500,3,2,0.25,0.016965452675863843,0.01628760512819579,0.016965452675863843,0.000408456816960279,0.00036965230806315495,1.0,1.0416173858791933,0.9600454193225034,0.03891670586536473
gaussian_control,23,2500,3,2,0.25,0.03391646770765452,0.03973633490589959,0.03391646770765452,0.000310428187715023,0.0002838331592147851,1.0,0.8535378964359139,1.17159414265689,0.05270866322358536
gaussian_control,24,2500,3,2,0.25,0.004765939390529875,0.0055799151721699445,0.004765939390529875,0.0003651396587922574,0.000343277602845121,1.0,0.85412398638248,1.1707902083810537,0.02125480132298071
gaussian_control,25,2500,3,2,0.25,0.009431413311404131,0.007299671561358216,0.009431413311404131,0.00011347042080396449,0.0001769824538089967,1.0,1.2920325568249638,0.7739743048405812,0.028521461157318236
gaussian_control,26,2500,3,2,0.25,0.00444438558211938,0.004745270438958318,0.00444438558211938,0.00020776387511771389,0.00021136020450180637,1.0,0.9365926851357732,1.0676999894089874,0.020969500706713207
gaussian_control,27,2500,3,2,0.25,0.040898591087540744,0.019568933198202586,0.040898591087540744,0.0003547207102816419,0.0003378678813860567,1.0,2.089975507264611,0.4784745067700883,0.05821742522408854
gaussian_control,28,2500,3,2,0.25,0.02150452807762234,0.0159881619010654,0.02150452807762234,0.00023585924895666344,0.0003191280627592017,1.0,1.3450281658824925,0.7434788544698507,0.044486566043752694
gaussian_control,29,2500,3,2,0.25,0.007740080498023614,0.00806945651499708,0.007740080498023614,0.0001327810121531916,0.00012401924413676165,1.0,0.959182379090671,1.0425545983736952,0.027175875277110257
gaussian_control,30,2500,3,2,0.25,0.01764517703624483,0.009364696376762842,0.01764517703624483,0.0001288459651977079,0.00013371141121389581,1.0,1.8842230785003153,0.530722721428461,0.03930727017967747
gaussian_control,31,2500,3,2,0.25,0.012389247617788758,0.011546210675962554,0.012389247617788758,0.00017462797910954708,0.00013646124138784945,1.0,1.0730141659013097,0.9319541454143064,0.03581049689794444
gaussian_control,32,2500,3,2,0.25,0.0072699196980988735,0.003749041799561049,0.0072699196980988735,0.0003442259273487078,0.00033425107921746184,1.0,1.9391407422958211,0.5156923260846259,0.027496755230759114
gaussian_control,33,2500,3,2,0.25,0.017398500261207987,0.015860062893969067,0.017398500261207987,0.0005888378615374928,0.0007288377141768731,1.0,1.0970007103706962,0.9115764379606299,0.043726304612885895
gaussian_control,34,2500,3,2,0.25,0.01428632745463768,0.013978843291154737,0.01428632745463768,0.0003503320816769257,0.00034201787438379455,1.0,1.02199639534392,0.9784770323612367,0.03962696721556155
gaussian_control,35,2500,3,2,0.25,0.003361235342335511,0.0029533677315517998,0.003361235342335511,0.000195332035865549,0.00027128821639922944,1.0,1.1381025486350131,0.8786554438344357,0.01976257633421897
gaussian_control,36,2500,3,2,0.25,0.027870733106282523,0.015568004685715585,0.027870733106282523,0.0002349518100176138,0.0002478582955724449,1.0,1.7902572403421295,0.5585789446710427,0.05556288944940087
gaussian_control,37,2500,3,2,0.25,0.009405722177111484,0.011216743358469181,0.009405722177111484,0.0005096201942008641,0.0004896892044504509,1.0,0.8385430491292921,1.1925446177609582,0.03013660594386066
gaussian_control,38,2500,3,2,0.25,0.006060452058765338,0.00515120277325139,0.006060452058765338,0.00013958718304986296,0.00015363540187450769,1.0,1.1765120352542517,0.8499700555837439,0.02482749073918222
gaussian_control,39,2500,3,2,0.25,0.0379373259330221,0.04677489545642432,0.0379373259330221,0.00012218825382902753,0.00015778116640876504,1.0,0.8110616937319435,1.2329518305798581,0.054976175757419726
gaussian_control,40,2500,3,2,0.25,0.010597725290155506,0.004894654293786228,0.010597725290155506,0.00024132979113571145,0.0002354851633017442,1.0,2.165163187032297,0.46185895178213343,0.03356257079587303
gaussian_control,41,2500,3,2,0.25,0.013649128627664856,0.01340472967585688,0.013649128627664856,0.0004945702889659863,0.0004813438398082024,1.0,1.0182322924607843,0.9820941718350713,0.035996003223548435
gaussian_control,42,2500,3,2,0.25,0.00915167714940734,0.007683312747008804,0.00915167714940734,0.00015055318583343612,0.00013220826479550421,1.0,1.1911108464210551,0.839552425372258,0.033356647224624295
gaussian_control,43,2500,3,2,0.25,0.013140489760422404,0.007367394714167765,0.013140489760422404,0.0004206527555915304,0.0004781835397534637,1.0,1.783600617346152,0.5606636319110025,0.03445122933345422
gaussian_control,44,2500,3,2,0.25,0.008480981041811574,0.006239720478630751,0.008480981041811574,0.00020523795735823757,0.00019734196564223712,1.0,1.3591924623637381,0.7357309782758246,0.030405390519623602
gaussian_control,45,2500,3,2,0.25,0.017229531028362072,0.014526656064182106,0.017229531028362072,0.0004283708729414915,0.00036180491255216905,1.0,1.1860631209438732,0.8431254478296201,0.040351230410373765
gaussian_control,46,2500,3,2,0.25,0.00919771547541261,0.007868036549412313,0.00919771547541261,0.0002094468988163339,0.00026640504684761714,1.0,1.1689975532840675,0.855433783578672,0.03157962301542227
gaussian_control,47,2500,3,2,0.25,0.0037062664489857632,0.003079400964452823,0.0037062664489857632,0.00023534682876896228,0.00019669848637462605,1.0,1.2035673469513015,0.8308633517958525,0.01898931846239969
gaussian_control,48,2500,3,2,0.25,0.0036406819378014127,0.0024273096757329725,0.0036406819378014127,0.00046082667967900243,0.000422127956216485,1.0,1.4998835847766476,0.6667184107818029,0.019411583456716446
