regime,order,n,reps,fail_rate,orth_err_median,orth_err_p90,hankel_cond_median,rel_signal_err_emp_vs_oracle_median,rel_signal_err_p90
gaussian_control,2,250,200,0.0,0.19309612906387355,0.44683202945461825,6.004154432957453,0.1079611014685862,0.235479383199002
gaussian_control,2,500,200,0.0,0.14591317814544924,0.2987360266310514,5.918460220571916,0.09123193648938285,0.1837412731707721
gaussian_control,2,1000,200,0.0,0.10330777163472668,0.2026304078359522,5.838795883783046,0.05680280121918585,0.1194961094434771
gaussian_control,2,2500,200,0.0,0.06358141693067035,0.13659782784097163,5.84087823347596,0.039271651895639276,0.08423348834187279
gaussian_control,2,5000,200,0.0,0.040460547396526825,0.08643611248480548,5.84823107728794,0.024557579004367905,0.050128876018500884
gaussian_control,2,20000,200,0.0,0.023241437823146527,0.04626400516753497,5.826823439612676,0.011481898883767386,0.027914598555039034
gaussian_control,3,250,200,0.0,0.5207555250857231,1.4702643846061187,44.163622187046016,0.2581395500164395,0.49135464518463934
gaussian_control,3,500,200,0.0,0.29194031725386965,0.8384264415584387,44.38062790907665,0.19114143389579116,0.345451458517851
gaussian_control,3,1000,200,0.0,0.24813081355665,0.5357722813689166,42.37484578255206,0.14017017984394217,0.29622947173924546
gaussian_control,3,2500,200,0.0,0.1425321337942339,0.35092737406336305,40.92641843485217,0.07998517462153452,0.19137585734024837
gaussian_control,3,5000,200,0.0,0.12000260280661568,0.23417396167890706,41.02631552044691,0.0660139274580607,0.13875464660516504
gaussian_control,3,20000,200,0.0,0.061957986695077794,0.12343185557067747,40.61309335079008,0.03375999994843743,0.0710917605016193
gaussian_control,4,250,200,0.0,1.7167978810532163,6.298906165208384,413.16339105495507,0.43502154021455863,0.76510792462962
gaussian_control,4,500,200,0.0,0.8913625661050775,2.6666240667438696,391.4851413168965,0.34323362517443956,0.6810656289439504
gaussian_control,4,1000,200,0.0,0.5756870895879995,1.7468190372526604,381.0636205422391,0.2758855113237868,0.5803620457306384
gaussian_control,4,2500,200,0.0,0.3515949564736697,0.9639133829678703,357.6626887290164,0.1882719070189615,0.37283940581193986
gaussian_control,4,5000,200,0.0,0.23755949085834946,0.6012913568782212,360.5684224908785,0.1472545303725039,0.3084369394158318
gaussian_control,4,20000,200,0.0,0.13036579932312692,0.28098661192746777,348.47046921580267,0.07493385285092605,0.16654523443897656
gaussian_control,5,250,200,0.0,6.913191371705249,32.15146017300335,5307.707092155415,0.5822553378455264,0.9563240940538473
gaussian_control,5,500,200,0.0,4.328793912545199,12.016731605127854,5455.434676162419,0.5087457552980366,0.8886749855563695
gaussian_control,5,1000,200,0.0,1.8176372023567762,7.2870537754380775,5600.168706033213,0.44127523829279414,0.8001906949258325
gaussian_control,5,2500,200,0.0,0.8944377456981805,2.3934165294662035,5456.557837150232,0.3768876481247853,0.8014592462105382
gaussian_control,5,5000,200,0.0,0.5699374086427214,1.6752460339730024,5192.2741989745155,0.26744403107037074,0.5261417867098213
gaussian_control,5,20000,200,0.0,0.2689340739509457,0.6486871136421563,5051.300977610756,0.15792779696065362,0.36316809047691384
gaussian_control,6,250,200,0.0,41.96414781722761,239.81990814035115,79390.36210317587,0.6740185441224384,1.1351872859505099
gaussian_control,6,500,200,0.0,18.60258780236748,72.19863675149165,72759.27750534171,0.6128866139392342,0.9295731762091207
gaussian_control,6,1000,200,0.0,9.757651704801667,24.287421060062584,70543.80573020707,0.5591319446623262,0.9189680656462955
gaussian_control,6,2500,200,0.0,3.3261848734783577,11.084429075209213,71879.26327935951,0.5055420539777624,0.9462069810493303
gaussian_control,6,5000,200,0.0,1.879695097223106,4.830631839784827,76354.79726386417,0.4359554473967437,0.7542200769846479
gaussian_control,6,20000,200,0.0,0.6949168013385609,1.7626269890204007,71465.45858140686,0.2795878788730153,0.6548219923402055
centered_exponential_skew,2,250,200,0.0,0.5307206649152741,2.0956203668187436,21.91164203366818,0.2282194165509056,0.45622909254559024
centered_exponential_skew,2,500,200,0.0,0.45469589083519446,1.275098832284758,21.960976882834636,0.1673517585464921,0.32716003178957803
centered_exponential_skew,2,1000,200,0.0,0.29882702937635297,0.9578919197210304,22.302999345472173,0.10977810414564904,0.24643199872639485
centered_exponential_skew,2,2500,200,0.0,0.17974229626905547,0.5326304440358914,23.448322388020692,0.06095493212979185,0.1728072080589969
centered_exponential_skew,2,5000,200,0.0,0.1505002791977087,0.3750601006974453,22.731039787062226,0.04814592962078194,0.11654777473495626
centered_exponential_skew,2,20000,200,0.0,0.08137197794484952,0.21283654155181642,22.953393006633064,0.02540816570018034,0.060657532213740505
centered_exponential_skew,3,250,200,0.0,5.758669888046617,39.62377129345309,574.2728473050786,0.5829918981575284,0.8490629592415823
centered_exponential_skew,3,500,200,0.0,3.2298066168400688,15.550978294507365,725.913053010051,0.502853533057543,0.7161028746346298
centered_exponential_skew,3,1000,200,0.0,1.8461820084328204,9.656221897364981,826.2548759722483,0.4083434748515275,0.6716476539963698
centered_exponential_skew,3,2500,200,0.0,0.6424028729527311,3.666850557224316,929.2904255688735,0.26624337772951423,0.5227333493750331
centered_exponential_skew,3,5000,200,0.0,0.6421453846994298,2.3103173678576763,914.202291313656,0.22486157260649564,0.43527758422459023
centered_exponential_skew,3,20000,200,0.0,0.3251952213047069,1.0377076624631423,988.7767006606919,0.13379213504747267,0.2691714266528835
centered_exponential_skew,4,250,200,0.0,102.48979729592662,1084.2752984442632,27784.772286651067,0.8520642472701747,1.1603859181669354
centered_exponential_skew,4,500,200,0.0,64.20263226339776,485.6334187437957,27637.04998423913,0.7305592084430075,1.074518295741871
centered_exponential_skew,4,1000,200,0.0,26.551013635491245,169.39707153333296,37318.731810927915,0.6464592365727206,0.9098868144159753
centered_exponential_skew,4,2500,200,0.0,10.433272486498097,49.14394515479574,46864.819387117815,0.551293332748332,0.7768726305796422
