family,param,mismatched_vwk_mse,correct_vwk_mse,wiener_mse,monomial_ls_mse,cond_mismatched_vwk_gram,cond_monomial_gram,mis_over_correct,W_over_mis
contamination,0.0,0.05057324920471944,0.05057324920471944,0.668369325845735,0.0002675344299218633,1.8763634916032417,35.467807572845835,1.0,13.215866814097511
contamination,0.01,0.05671178460610361,0.05617289972238529,0.6324018142681558,0.0002596171795556371,1.9065388832278851,33.56953170127154,1.0095933250087066,11.151153480013983
contamination,0.02,0.05814619679458076,0.05707074747045888,0.6102989430846181,0.0002567886519363674,1.940876498860793,32.84861308659436,1.0188441429592028,10.495939145266645
contamination,0.05,0.05757715889606343,0.04096937929801784,0.4966871093244411,0.0002509537408239888,2.0305568385142214,30.22509962996313,1.4053705446020535,8.62646088913567
contamination,0.1,0.08633132347639613,0.03982716121322933,0.3973386375809241,0.00023741583043991035,2.414464067037812,29.4689767281443,2.167649434369417,4.602485188236
skew_scale,0.8,0.10217652645148592,0.04429031360257723,0.6776120298880737,0.00023623083969560125,2.246542930996469,35.54533074743557,2.30697229575589,6.631777898711484
skew_scale,1.0,0.045816781180515895,0.045816781180515895,0.6508897650327017,0.0002561865917058163,1.8940006693302502,34.92849657517656,1.0,14.206361692416314
skew_scale,1.2,0.09124625693955865,0.05422792499778273,0.6773660596189721,0.00025251324047239216,2.8342830379288504,35.12297018394147,1.6826433418444378,7.423494205002383
