t,exact_max_abs_dev_vs_alg1,naive_max_abs_dev_vs_batch,exact_max_abs_dev_vs_batch_empnorm,rmse_naive_vs_truth,rmse_exact_vs_truth,rmse_batch_vs_truth,update_cost_running_sums_s,update_cost_rls_s,rls_vs_ls_max_dev,refresh_K,n_features,n
500,7.771561172376096e-16,0.8706855871391554,0.021977191695899928,0.36700880104309724,0.08803123780095154,0.09231405445911872,0.05545654200250283,0.27722904103575274,2.531501064328978e-09,500,10,50000
1000,2.275957200481571e-15,0.4641664122050937,0.08943102780921797,0.18774617009465133,0.1263033629106788,0.11020014624684353,0.05545654200250283,0.27722904103575274,2.531501064328978e-09,500,10,50000
2000,2.4424906541753444e-15,0.2152589644606937,0.0761238083058064,0.06933247096481175,0.07114852275361601,0.08995732823797059,0.05545654200250283,0.27722904103575274,2.531501064328978e-09,500,10,50000
5000,2.220446049250313e-15,0.10311936134462085,0.04550259108678817,0.04450947338360104,0.03690602945236707,0.051440583534663444,0.05545654200250283,0.27722904103575274,2.531501064328978e-09,500,10,50000
10000,3.6637359812630166e-15,0.03998918615162095,0.025337918535584675,0.021092377748420238,0.021675365809917017,0.019972162407000428,0.05545654200250283,0.27722904103575274,2.531501064328978e-09,500,10,50000
20000,8.992806499463768e-15,0.025605582877656796,0.015960627545789863,0.015025469334028003,0.011101286599489158,0.007273849188181278,0.05545654200250283,0.27722904103575274,2.531501064328978e-09,500,10,50000
50000,3.3861802251067274e-15,0.014999969454622897,0.008306850447310055,0.016671390599690444,0.012737261663924722,0.01229003471878323,0.05545654200250283,0.27722904103575274,2.531501064328978e-09,500,10,50000
