regime,noise_law,noise_sd_measured,oracle_vwk_mse,empirical_vwk_mse,wiener_mse,W_over_oracle,coef_bias_norm,coef_sd_rms,bias_se_ratio,noiseproj_bias_norm,noiseproj_sd_rms,noiseproj_bias_se_ratio,noiseproj_sd_theory_iid
gaussian_control,gaussian,0.24990684414475944,0.011452330824886612,0.008370701907110515,0.011452330824886612,1.0,0.007456768670203734,0.03415590240123325,2.6738099549247325,0.0013344862354082569,0.004899468528443542,3.3358825825097145,0.005002001200800561
gaussian_control,centered_exponential,0.24991831810125884,0.012983247344531787,0.008659708028357513,0.012983247344531787,1.0,0.005945170303988286,0.03595266612557342,2.025250871222585,0.0012066273105129908,0.004923444324760438,3.0015787988091414,0.005002001200800561
gaussian_control,student_t3,0.25322676874946115,0.01145934490450502,0.008167790258417667,0.01145934490450502,1.0,0.006905240044910102,0.03355844648314504,2.5201277821305403,0.0015916075836369431,0.004931466527666734,3.952806359713042,0.005002001200800561
gaussian_control,contaminated_10pct,0.2504230481880713,0.012765082850472665,0.008845958626968894,0.012765082850472665,1.0,0.006486440008552223,0.035587234096518705,2.2323269385076174,0.0012377650830374266,0.00489555734924317,3.0965757916655408,0.005002001200800561
centered_exponential_skew,gaussian,0.24954559471325838,0.05041173825782391,0.035371250194331565,0.6667346693850094,13.225782177458084,0.03777254750741881,0.06852036890067026,6.7515301772775205,0.0019475097272202452,0.004943347032796192,4.825076076135897,0.005002001200800561
centered_exponential_skew,centered_exponential,0.2504831210296492,0.05155612529644606,0.035474351255785595,0.6884581277135308,13.353566113723998,0.02545231920752351,0.0679681516518872,4.586353557779957,0.0012387821377224822,0.005259106747533425,2.884885481091818,0.005002001200800561
centered_exponential_skew,student_t3,0.24738137521178383,0.055848673476502506,0.034398684129577396,0.6782088157895265,12.143687102521293,0.029142959583421838,0.07006135646521595,5.094490327872678,0.0014611529993748184,0.004821767372670704,3.7113769785860646,0.005002001200800561
centered_exponential_skew,contaminated_10pct,0.24895447365898454,0.0458155732037081,0.02835475276683881,0.651689768796305,14.224197652154668,0.03482972570454953,0.06561645712785875,6.5010410186428285,0.0012684922517270877,0.0050209375251780595,3.0942017738960494,0.005002001200800561
uniform_platykurtic,gaussian,0.2501828702423194,0.008463307326521636,0.0060767821249984744,0.008463307326521624,0.9999999999999986,0.009515446939695351,0.028584774631409286,4.076993780313078,0.0014646793284324195,0.004943440978594192,3.6287648694473083,0.005002001200800561
uniform_platykurtic,centered_exponential,0.24974110382581538,0.008064806852719786,0.005393433039966036,0.008064806852719777,0.9999999999999989,0.008532551891786857,0.02790249624586843,3.7452560076577144,0.001360038874646178,0.004959253938434829,3.3587726244601224,0.005002001200800561
uniform_platykurtic,student_t3,0.2523837111842595,0.0076496466658134464,0.00525153827501504,0.007649646665813442,0.9999999999999994,0.011088902493163492,0.027231500012363158,4.987267117748767,0.0018214265396960703,0.004894988265888824,4.557279184211136,0.005002001200800561
uniform_platykurtic,contaminated_10pct,0.24920503783672757,0.007232603791191306,0.005422464328517263,0.007232603791191306,1.0,0.005119368578822439,0.026889017413618984,2.331777437319218,0.0013958598605684506,0.00523819185867091,3.2636685549856117,0.005002001200800561
symmetric_contaminated,gaussian,0.2496299885291806,0.038978616090047324,0.024353725255369472,0.03897861609004732,0.9999999999999998,0.025135884126024608,0.06260924622498257,4.9170125863866305,0.0009811018141195023,0.00503499044848941,2.3864979039162755,0.005002001200800561
symmetric_contaminated,centered_exponential,0.250201556989634,0.046661649277303686,0.031733343223704746,0.046661649277303686,1.0,0.01692294675680447,0.06586025767960636,3.147010500635666,0.0015087930130499084,0.005003273751813019,3.693354784064586,0.005002001200800561
symmetric_contaminated,student_t3,0.24698519843707853,0.051130038074693414,0.03186465016094917,0.051130038074693344,0.9999999999999987,0.026890505921663116,0.06719213962050333,4.901467553004134,0.0011179065428220986,0.004730709247790164,2.894175552336116,0.005002001200800561
symmetric_contaminated,contaminated_10pct,0.2489501348505729,0.0445781839857899,0.027912977222100743,0.044578183985789915,1.0000000000000002,0.014771512839886614,0.06476690648113241,2.7932991671628504,0.001284927207234728,0.004897657571627076,3.213185046437293,0.005002001200800561
