regime,phi,n,memory,order,reps,marginal_skew,gram_offdiag_rel,oracle_vwk_mse,empirical_vwk_mse,wiener_mse,vwk_full_ls_mse,W_over_oracle,W_over_emp,oracle_over_ls
gaussian_control,0.0,2500,3,2,150,-0.0079,0.10277,0.01227702794999215,0.00816181400874225,0.01227702794999215,0.0002395351321542663,1.0,1.5042033470552048,51.25355867249341
gaussian_control,0.1,2500,3,2,150,0.0011,0.19716,0.05242416114773641,0.04823608668096466,0.05242416114773641,0.00025078863332232237,1.0,1.0868245074371774,209.03722969118394
gaussian_control,0.3,2500,3,2,150,0.0041,0.5586,0.40409840742157566,0.3847233959931023,0.40409840742157566,0.0002426709680943121,1.0,1.0503608868872139,1665.211172951377
gaussian_control,0.5,2500,3,2,150,0.01,1.08128,1.8558108835248257,1.7677996414832096,1.8558108835248257,0.00024999372226775906,1.0,1.0497857562454156,7423.429943321277
gaussian_control,0.7,2500,3,2,150,-0.0041,1.77251,5.94913440898232,5.744182441957419,5.94913440898232,0.00024962855783450797,1.0,1.0356799194830346,23831.946395036728
gaussian_control,0.9,2500,3,2,150,-0.0387,2.92095,17.65481274740689,16.438540729615124,17.65481274740689,0.0002519534731744654,1.0,1.0739890503541212,70071.71810321424
centered_exponential_skew,0.0,2500,3,2,150,1.9906,0.24828,0.05195585995847037,0.03533010074822857,0.6486769951257357,0.0002477665592754376,12.485155584841433,18.360462647654916,209.69682151783843
centered_exponential_skew,0.1,2500,3,2,150,1.9752,0.32415,0.07105374782033375,0.05327167033181601,0.5598320795049045,0.00025939029064274877,7.878994376489386,10.50900180185546,273.92601181897805
centered_exponential_skew,0.3,2500,3,2,150,1.9873,0.84694,0.33925290789144874,0.30549601131165627,0.7499171423842074,0.00024305779129378438,2.210495842305822,2.454752646898451,1395.7705535198959
centered_exponential_skew,0.5,2500,3,2,150,1.9758,1.73396,1.2354603580056036,1.1749412516005675,1.9786505414877857,0.00023288750980428075,1.601549194732488,1.6840421074605754,5304.966157454677
centered_exponential_skew,0.7,2500,3,2,150,1.953,3.40171,4.8800877740976984,4.556267064915141,7.343267431893528,0.00025157340470228953,1.5047408513571783,1.6116850323457268,19398.265805850046
centered_exponential_skew,0.9,2500,3,2,150,1.8939,6.7368,21.801555434845014,18.546179701904347,30.70368004724251,0.00024036362515907498,1.4083252059240414,1.6555258571170761,90702.3906816871
uniform_platykurtic,0.0,2500,3,2,150,-0.0005,0.07089,0.007238336874939958,0.005283073187140963,0.007238336874939953,0.00025029923081038415,0.9999999999999993,1.37009967845195,28.91873399492549
uniform_platykurtic,0.1,2500,3,2,150,-0.0011,0.1546,0.03411763193877365,0.031744706162910384,0.034117631938773645,0.00023516611599361776,0.9999999999999998,1.0747502832026752,145.07885965892967
uniform_platykurtic,0.3,2500,3,2,150,-0.0122,0.44554,0.2585724221203338,0.260478797424077,0.2585724221203338,0.0002515414103467602,1.0,0.992681264952865,1027.951706893434
uniform_platykurtic,0.5,2500,3,2,150,-0.0085,0.81568,1.1732471555292174,1.1621381550997223,1.1732471555292172,0.0002465370873481047,0.9999999999999998,1.0095591048110297,4758.907343918684
uniform_platykurtic,0.7,2500,3,2,150,-0.0197,1.29183,4.072172498280008,4.088058434539533,4.072172498280008,0.00025158817929401,1.0,0.9961140633105174,16185.865765661436
uniform_platykurtic,0.9,2500,3,2,150,-0.0045,1.93017,12.732702520650651,12.016714690801553,12.732702520650655,0.0002483875383375439,1.0000000000000002,1.0595826603420293,51261.43849997686
symmetric_contaminated,0.0,2500,3,2,150,0.0138,0.26534,0.05163578274463727,0.034983047205004926,0.051635782744637225,0.0002406009754513173,0.9999999999999992,1.476023013148204,214.61169327256175
symmetric_contaminated,0.1,2500,3,2,150,-0.0658,0.33709,0.09456385481995215,0.07582468419704566,0.09456385481995216,0.0002530889844203728,1.0000000000000002,1.2471381295068635,373.638762020889
symmetric_contaminated,0.3,2500,3,2,150,0.0841,0.79273,0.42971494895781726,0.3837511069696626,0.4297149489578175,0.0002436988806758228,1.0000000000000004,1.1197751385034795,1763.3029243554051
symmetric_contaminated,0.5,2500,3,2,150,-0.0111,1.8323,1.327021100904404,1.2293034850230378,1.327021100904404,0.0002558121922574411,1.0,1.079490229281775,5187.481836553486
symmetric_contaminated,0.7,2500,3,2,150,0.059,4.02036,4.791946145284416,4.242594453676118,4.791946145284418,0.00026389389034428285,1.0000000000000004,1.1294848465028982,18158.609655694258
symmetric_contaminated,0.9,2500,3,2,150,0.0084,8.56475,19.510820023738695,15.77952019141441,19.510820023738695,0.00023951130138765518,1.0,1.2364647205403922,81460.95783664059
